link,title,property_id,postcode-L1,postcode-L2,price-monthly,bed,bath,max-tenants,list-date,let-agreed,Furnishing,EPC Rating
https://www.openrent.co.uk/property-to-rent/coventry/3-bed-semi-detached-house-penruddock-drive-cv4/1609792,"3 Bed Semi-Detached House, Penruddock Drive, CV4",1609792,CV4,208LX,"1,150.00",3,1,1,20230126,20230207,Unfurnished,B
https://www.openrent.co.uk/property-to-rent/london/2-bed-flat-hamlet-gardens-w6/1609793,"2 Bed Flat, Hamlet Gardens, W6",1609793,W6,200SP,"3,510.00",2,2,2,20230126,,At tenant choice,C
https://www.openrent.co.uk/property-to-rent/london/1-bed-flat-hamlet-gardens-w6/1609795,"1 Bed Flat, Hamlet Gardens, W6",1609795,W6,200SP,"2,751.67",1,1,1,20230126,,At tenant choice,C
https://www.openrent.co.uk/property-to-rent/london/2-bed-flat-silverthorne-road-sw8/1609796,"2 Bed Flat, Silverthorne Road, SW8",1609796,SW8,203HH,"2,450.00",2,1,2,20230126,20230131,Furnished,C
https://www.openrent.co.uk/property-to-rent/london/2-bed-flat-hamlet-gardens-w6/1609800,"2 Bed Flat, Hamlet Gardens, W6",1609800,W6,200SU,"5,126.33",2,2,2,20230126,20230223,Furnished,C
https://www.openrent.co.uk/property-to-rent/bristol/2-bed-flat-alberton-road-bs16/1609803,"2 Bed Flat, Alberton Road, BS16",1609803,BS16,201HH,"1,200.00",2,1,2,20230126,20230209,Furnished,Currently Being Obtained
https://www.openrent.co.uk/property-to-rent/birmingham/studio-flat-stanmore-road-b16/1609804,"Studio Flat, Stanmore Road, B16",1609804,B16,209SU,425.00,1,1,1,20230126,20230127,At tenant choice,C
https://www.openrent.co.uk/property-to-rent/chester/2-bed-flat-cecil-street-ch3/1609807,"2 Bed Flat, Cecil Street, CH3",1609807,CH3,205DP,750.00,2,1,2,20230126,20230216,Unfurnished,C
https://www.openrent.co.uk/property-to-rent/pinner/room-in-a-shared-house-pinner-ha5/1609810,"Room in a Shared House, Pinner, HA5",1609810,HA5,205DN,890.00,4,2,1,20230126,20230212,Furnished,Shared Accommodation
https://www.openrent.co.uk/property-to-rent/london/1-bed-flat-pembridge-villas-w11/1609813,"1 Bed Flat, Pembridge Villas, W11",1609813,W11,203EP,"3,574.00",1,1,3,20230126,,At tenant choice,D
https://www.openrent.co.uk/property-to-rent/marylebone/studio-flat-town-house-3-nw1/1609817,"Studio Flat, Town House 3, NW1",1609817,NW1,205AW,"1,590.00",1,1,2,20230126,20230130,Furnished,E
https://www.openrent.co.uk/property-to-rent/london/room-in-a-shared-house-carbery-avenue-w3/1609819,"Room in a Shared House, Carbery Avenue, W3",1609819,W3,209AD,850.00,4,2,1,20230126,20230214,Furnished,Shared Accommodation
https://www.openrent.co.uk/property-to-rent/london/studio-flat-cheniston-gardens-w8/1609824,"Studio Flat, Cheniston Gardens, W8",1609824,W8,206TH,"1,746.00",1,1,1,20230126,20230212,Furnished,C
